ID,Code,Address/Intersection/Area,Latitude,Longitude
338704,PFI10,WJ,44.0566827920345,-123.100785671573
338705,PFI10,Below arbor,44.0815588044421,-123.116695360244
338707,PFI10,WJ,44.0566184825561,-123.100461023267
338708,PFI10,WJ,44.0570664565839,-123.100668976668
338714,PFI10,WJ,44.0577854636987,-123.101704182606
338715,PFI10,WJ,44.0577586290676,-123.101499382618
338716,PFI10,WJ,44.0577452851520,-123.101367581781
338719,PFI10,WJ,44.0589641819887,-123.101250041587
338720,PFI10,WJ,44.0590926931907,-123.101642772242
338725,PFI10,Skinners Butte,44.0630486102680,-123.100565438611
338988,PFI10,Below river house,44.0640848063470,-123.104136065784
339000,PFI10,Skinners Butte,44.0592059765607,-123.086854023733
339001,PFI10,Skinners Butte,44.0600525318915,-123.090351104811
339002,PFI10,Skinners Butte,44.0603756310167,-123.090898257892
339003,PFI10,Skinners Butte,44.0617494887792,-123.095947613896
339014,PFI10,Knickerbocker,44.0443771951988,-123.051124264695
339017,PFI10,Knickerbocker,44.0446637345699,-123.052662526273
339023,PFI10,Q St ,44.0622655946671,-123.071598838423
339036,PFI10,Delta Ponds,44.0768980166784,-123.109398695201
339038,PFI10,Garfield,44.0423128677823,-123.122162888745
339041,PFI10,North Bank,44.0660518718985,-123.106958568130
339044,PFI10,Amazon,44.0303719432802,-123.087358247977
339046,PFI10,Oak Path West,44.0471939913501,-123.137532005556
339051,PFI10,West Bank,44.0650171635577,-123.173128442832
339060,PFI10,AC,44.0419781378733,-123.109608566696
339187,PFI10,WJ,44.0534938306802,-123.101870708137
339195,PFI10,Below river house,44.0641652105736,-123.104304739237
339198,PFI10,AC,44.0505219546967,-123.167404099988
339201,PFI10,AC,44.0477948338264,-123.157857557683
339231,PFI10,Garfield,44.0423943712416,-123.120563520417
339236,PFI10,SB,44.0600684579611,-123.093844066418
339237,PFI10,AC,44.0419355732949,-123.111500959513
339244,PFI10,SB,44.0593591873326,-123.087239540909
339258,PFI10,TS,44.0691858831179,-123.139363127589
339259,PFI10,TS,44.0693581819843,-123.139543126101
339260,PFI10,AC,44.0465928447986,-123.144632436907
339261,PFI10,AC,44.0461224846463,-123.126441757361
339262,PFI10,Garfield,44.0424730253464,-123.119687899015
339263,PFI10,Grant,44.0422242938588,-123.120503213485
339264,PFI10,Westmoreland,44.0409193939411,-123.115654220030
339265,PFI10,WJ,44.0536867403560,-123.099835231908
339266,PFI10,SB,44.0593318955044,-123.087365229831
339267,PFI10,MJ,44.0637663842018,-123.102559698763
339268,PFI10,Grant,44.0422154306018,-123.121533649471
339269,PFI10,Garfield,44.0427650441572,-123.120931620559
339279,PFI10,Washburn,44.0380593052310,-123.068885495366
339280,PFI10,MJ,44.0638891741781,-123.105635942961
339281,PFI10,SB,44.0603853010454,-123.094605984677
339282,PFI10,AB,44.0519495015145,-123.068920015057
339386,PFI10,AC,44.0463874298644,-123.147062999205
339393,PFI10,Whilamut,44.0462961269056,-123.050635848304
339403,PFI10,AB,44.0522882364261,-123.070969530965
339558,PFI10,TS,44.0683807408277,-123.138618094473
339566,PFI10,Gudukut,44.0444827337222,-123.125936524209
339579,PFI10,SB,44.0576962164755,-123.084415049891
339580,PFI10,SB,44.0577258990139,-123.084428556501
339583,PFI10,SB,44.0591851883898,-123.086873734973
339584,PFI10,SB,44.0597549969435,-123.088944257827
339591,PFI10,Delta Ponds,44.0821968668856,-123.109534126503
339625,PFI10,Below river house,44.0645012889176,-123.105679096504
339706,PFI10,AB,44.0530431359957,-123.077380613221
339782,PFI10,1st/Jefferson,44.0589879133972,-123.101541115398
339784,PFI10,1st/Jefferson,44.0590213828805,-123.101574397120
339916,PFI10,WJ,44.0571767831180,-123.101174155441
339917,PFI10,WJ,44.0562742340050,-123.101607472761
339920,PFI10,WJ,44.0562451417432,-123.101511454229
339922,PFI10,Ferry Street Bridge,44.0574197850678,-123.084249643307
339931,PFI10,AB,44.0524446993299,-123.079704796523
339942,PFI10,AC,44.0419976957419,-123.109884028884
339949,PFI10,WB,44.0935600855177,-123.102221420097
339955,PFI10,1st/Jefferson,44.0586921578485,-123.101306869326
339956,PFI10,EB,44.0934440841154,-123.101491187207
339959,PFI10,1st/Jefferson,44.0594780652245,-123.101598571458
339960,PFI10,WJ,44.0571854401389,-123.101583434874
339961,PFI10,WJ,44.0583022799416,-123.100668022148
339978,PFI10,AP,44.0299852299043,-123.086420658757
340109,PFI10,AC,44.0499991347861,-123.166484490890
340150,PFI10,AB,44.0478645851438,-123.051382451588
340153,PFI10,Gudukut,44.0444305459091,-123.125775718573
340156,PFI10,Skinners Butte,44.0593902302597,-123.087971681817
340158,PFI10,Oak Patch East,44.0461404863544,-123.129134614292
340161,PFI10,WJ,44.0611312419715,-123.100435271651
340162,PFI10,WJ,44.0590053889522,-123.100322978524
340164,PFI10,WJ,44.0588301231619,-123.100666786566
340165,PFI10,AC,44.0421930009470,-123.121286891678
340170,PFI10,Garfield,44.0424812803941,-123.121132884926
340171,PFI10,Skinners Butte,44.0601646862969,-123.093792761743
340172,PFI10,Gudukut,44.0449007655543,-123.125539883312
340180,PFI10,WJ,44.0536658203787,-123.099912986358
340181,PFI10,WJ,44.0574508425726,-123.101400218396
340182,PFI10,WJ,44.0591899334571,-123.101675056347
340183,PFI10,WJ,44.0597988488695,-123.100426327668
340184,PFI10,WJ,44.0605015474015,-123.100477447695
340185,PFI10,AB,44.0530386739973,-123.081135456227
340264,PFI10,Bertelsen,44.0550020721483,-123.161863176773
340280,PFI10,Along Channel,44.0734910600000,-123.173072603919
340284,PFI10,Along Channel,44.0729301758332,-123.173120076933
340289,PFI10,Bertelsen,44.0524822499530,-123.159210641762
340335,PFI10,WB,44.0884479473473,-123.119210847550
340354,PFI10,1st/Jefferson,44.0593622297341,-123.101608563221
340362,PFI10,WJ,44.0567264565518,-123.101328428563
340364,PFI10,WJ,44.0566580708002,-123.100820065714
340366,PFI10,WJ,44.0574899420518,-123.100888863416
340367,PFI10,1st/Washington,44.0588132761964,-123.100663189073
340370,PFI10,1st/Jefferson,44.0588643322220,-123.101233752852
340373,PFI10,WJ,44.0535446629088,-123.100160589236
340384,PFI10,AC,44.0463388102271,-123.131806247867
340387,PFI10,AC,44.0465844446810,-123.144692864655
340539,PFI10,Delta Ponds,44.0760640151987,-123.108647606659
