ID,Code,Address/Intersection/Area,Latitude,Longitude,"Date of cleanup, inspection or posting",Staff hours,# staff members,Pieces of equipment used,Items to storage?,Hazmat,Yards of debris,Images?
366399,PFI10,AC,44.0465431129919,-123.144558602443,Feb-21,1,1,1,No,,0,Yes
366583,PFI10,Rasor,44.0721493178087,-123.117524087303,Feb-21,1.5,1,1,No,,0,Yes
366591,SFS30,2951 Coburg,44.0965561210404,-123.067086123124,Feb-21,1,1,1,No,,0,No
366621,SFS30,Franklin/Walnut,44.0449403749723,-123.061484692514,Feb-21,1.5,1,1,No,,0,No
366650,PFI10,Bertelsen,44.0557633370477,-123.158654834142,Feb-21,3.5,1,1,No,,0,Yes
366651,PFI10,MLK,44.0593139039744,-123.075633448063,Feb-21,1.5,1,1,No,,0,Yes
366661,SFS30,Lone Oak/Division,44.0987173793114,-123.124593205968,Feb-21,0.5,1,1,No,,0,No
366669,SFS30,Lone Oak/Division,44.0987173793114,-123.124593205968,Feb-21,0.5,1,1,No,,0,No
366670,SFS30,Lone Oak/Lone Oak,44.0990394385855,-123.123361893855,Feb-21,0.5,1,1,No,,0,No
366673,SFS30,W 11th/Beltline,44.0481302484246,-123.172860133627,Feb-21,1,1,1,No,,0,No
366678,SFS30,W 13th/Polk,44.0455357096035,-123.112480302038,Feb-21,0.5,1,1,No,,0,No
366679,SFS30,4011 Donald St,44.0111237393208,-123.086837309645,Feb-21,2,2,1,No,,0,No
366682,SFS30,Edison/Side,44.0679854261757,-123.136463227136,Feb-21,1,2,1,No,,0,No
366683,SFS30,2050 Ohio St,44.0859786166852,-123.198979375823,Feb-21,3,3,2,No,,0,No
366684,SFS30,825 Stephens Drive,44.0751002923013,-123.116049665501,Feb-21,1,2,1,No,,0,No
366732,PFI10,SB,44.0572125815165,-123.095970540143,Feb-21,1.5,1,1,No,,0,Yes
366735,PFI10,SB,44.0571585242510,-123.095899544680,Feb-21,1.5,1,1,No,,0,Yes
366751,SWM30,Pin location,44.0536498048139,-123.087132601500,Feb-21,1,2,1,No,,0,Yes
366756,SFS30,2805 Shadow View Drive,44.0936171505413,-123.060009698657,Feb-21,1.5,1,1,No,,0,No
366757,SFS30,13th/Taylor,44.0455507685762,-123.113999052938,Feb-21,2.5,3,2,No,,0,No
366777,PFI10,AC,44.0500351293503,-123.167978480457,Feb-21,1,1,1,No,,0,Yes
366780,SFS30,7th Aly/Tyler,44.0516216391829,-123.110996901751,Feb-21,1,1,1,No,,0,No
366781,SFS30,4th/Blair,44.0554632512550,-123.109117553199,Feb-21,1,1,1,No,,0,No
366793,SFS30,2nd/Blair ,44.0578718878558,-123.111481962513,Feb-21,4,2,2,No,Called NW Hazmat,3,No
366812,SFS30,214 Taylor St,44.0572056094268,-123.114273424391,Feb-21,0.5,1,1,No,,0,No
366817,SFS30,2nd/Van Buren,44.0580316944006,-123.109400356728,Feb-21,4,2,2,No,Called NW Hazmat (feces),2,No
366824,SFS30,2nd/Jackson,44.0575832576939,-123.107991429447,Feb-21,1,1,1,No,,0,No
366825,SFS30,W 2nd/Jackson,44.0575811377629,-123.107985594401,Feb-21,1,1,1,No,,0,No
366829,SFS30,Railroad/Chambers,44.0640194300496,-123.117230891869,Feb-21,0.5,1,1,No,,0,No
366831,SFS30,W 2nd Aly/Jackson,44.0570942244089,-123.107892269248,Feb-21,0.5,1,1,No,,0,No
366832,SFS30,3500 Chad Drive,44.0861262199277,-123.051452668012,Jan-21,8,3,2,No,Called NW Hazmat,1,No
366833,SFS30,Edison/Side,44.0679727925711,-123.136468419864,Feb-21,0.5,1,1,No,,0,No
367026,PFI10,Westmoreland,44.0412810220797,-123.115345588208,Feb-21,0.25,1,1,No,,0,Yes
367047,PFI10,MJ,44.0658494932560,-123.115736929202,Feb-21,0.25,1,1,No,,0,Yes
367049,SFS30,2nd/Blair,44.0576466343632,-123.111276566185,Feb-21,0.5,1,1,No,,0,No
